Edge1,Edge2,Weight
0,5,19.917178002863324
0,7,4.470049685007554
0,8,44.23032001119387
0,10,3.3159645776630775
0,12,46.74711748457529
0,14,26.291851886253458
0,16,4.304134904931511
0,20,8.106130653768062
0,25,37.03565603515196
0,26,21.92653336508732
0,28,25.608005405590912
0,30,5.209677188165795
0,41,15.263085251134424
0,42,26.06929219688289
0,45,38.967503921798105
0,47,31.607903209359765
0,53,19.366298481412198
0,56,39.828421111154135
0,59,30.657755083127075
0,63,1.4201223220414338
0,67,43.57332988284042
1,7,39.90212399089177
1,11,45.36329349418183
1,13,6.924614303777776
1,16,22.959061271839758
1,27,6.183712121206042
1,28,16.12209301881296
1,30,38.0644513758369
1,34,21.767973189578072
1,40,26.3535518059325
1,43,22.615295986394756
1,47,0.6639970808277218
1,51,45.396420845531985
1,52,12.418715406341102
1,55,18.204277604934553
1,56,17.142082521276347
1,58,48.442634430246315
1,65,5.253660882308991
1,69,41.454283377900246
1,72,8.444909587436438
2,14,4.375256467026683
2,16,20.466750010631824
2,20,35.86333332234408
2,22,14.06513887742572
2,24,46.32634245340802
2,25,17.41018114448402
2,27,5.997685981893975
2,29,12.196801226092497
2,31,44.892712468693155
2,32,15.988837785234267
2,37,23.56584397390002
2,38,27.27274337900829
2,45,40.58316956612353
2,52,19.58560326386675
2,53,49.620051170676284
2,54,9.816954601429961
2,55,17.652325962147135
2,61,11.988784051961494
2,62,46.15448898077793
2,63,13.719336678135807
2,64,26.5567761087685
2,67,15.200839766553266
2,68,20.58989052471634
2,73,0.32897718658431163
3,4,41.86174058086411
3,6,14.433615432230301
3,17,15.835856287961258
3,18,49.10439210141213
3,20,32.76494765900975
3,21,6.255524859151112
3,26,5.416722580575584
3,29,21.200756789422194
3,30,21.735459515237437
3,31,20.22861585498475
3,36,47.99954603276967
3,39,35.79777522774189
3,42,35.56162246772463
3,46,40.84688991794687
3,47,35.76078555709272
3,54,7.810301199216379
3,56,6.377517010867001
3,68,19.9444305212413
3,72,34.48045057580105
4,5,10.131550352718582
4,8,36.904390165207865
4,10,44.94810139042078
4,13,30.168933450334283
4,21,5.937371883068193
4,26,45.989673687591285
4,28,45.50457266557119
4,31,0.12610094142969652
4,34,14.021010733003415
4,35,41.825877717224415
4,38,5.794239605934498
4,39,39.465804840351396
4,42,41.72608652408824
4,47,38.42418270410875
4,48,37.1725967484487
4,50,47.39231346645095
4,51,42.725350047945376
4,52,19.174075232970665
4,53,35.53429126899688
4,61,20.767014918940678
4,64,12.595506336790995
4,73,24.52263831848707
4,74,15.976839963024103
5,6,26.92245875499719
5,13,33.75881287229304
5,14,36.6846139382283
5,15,3.1440083435208876
5,18,23.12941490283294
5,20,26.683611787075844
5,22,24.178809538830983
5,37,4.856345813428092
5,43,41.95933865749809
5,52,18.63155629444993
5,56,26.670676344017252
5,57,7.1642988319008
5,60,13.892037299185533
5,71,35.28585620212192
6,8,45.358974020942874
6,11,8.300073342808712
6,16,28.57076368051797
6,23,9.2986430943859
6,28,41.33719546369732
6,29,8.61352584177681
6,31,22.920392910460997
6,32,39.51222859263734
6,36,19.159752489968184
6,37,5.830679208866451
6,40,29.137960717265756
6,41,36.621660804709855
6,46,32.790908040547876
