Edge1,Edge2,Weight
0,1,19.901884851546676
0,3,23.952656705571385
0,4,45.01878696263377
0,10,23.6678722150138
0,14,10.270022049979726
0,16,36.56204807500536
0,19,41.70547031295372
0,21,48.78214959228712
0,23,10.796692525358093
0,26,40.36157768869841
0,33,40.37745539569716
0,34,14.163584264507618
0,39,17.591534693666805
0,41,29.05478210543872
0,42,39.40029765749711
0,51,47.39109873883621
0,53,34.98581265191484
0,55,13.267653975871973
0,58,17.593579556160744
0,59,39.46525755021119
0,60,43.86381908482772
0,64,39.58576162309708
0,71,29.534039963623343
0,72,47.243309618167224
0,73,31.129756486851495
1,6,43.01707388610418
1,11,26.78283581489367
1,12,25.7445699314366
1,15,14.270066887357796
1,17,24.983290867896052
1,19,15.895806854712092
1,20,40.55737420298192
1,27,28.499922190822698
1,37,27.674432769045577
1,38,10.65057056514463
1,40,33.75372245502137
1,41,26.72492615812291
1,42,8.899557489132853
1,44,11.144479055086359
1,46,35.75854126983832
1,48,44.46284152612557
1,49,14.999223969824444
1,57,18.80571159334396
1,59,4.630367775884264
1,62,1.475357572697783
1,63,26.7030730223141
1,64,32.99085770805832
1,68,34.97215328918972
1,72,21.759282058677755
2,4,15.84876806817357
2,5,5.900399843742788
2,8,13.552923641926423
2,9,47.775426694770765
2,14,20.69592827711282
2,15,23.872150029487848
2,19,49.396510850845004
2,21,14.744388561468934
2,30,46.16400397803009
2,31,31.26754702199685
2,32,20.949200190385834
2,35,21.302240561497797
2,37,7.782117507937864
2,39,15.34045302562766
2,43,13.99108829960229
2,45,44.265436652955465
2,46,45.3292624913438
2,50,25.864166362902935
2,55,6.3866015106897045
2,62,18.403457915363152
2,64,28.222519066035385
2,68,39.63865491921159
2,71,49.053627917049106
2,73,27.12160175731782
2,74,5.921390428011586
3,5,46.90653504248502
3,10,48.985311717439984
3,11,6.086716791957919
3,13,1.2034268874155152
3,16,1.4930890824720489
3,18,39.91148585428263
3,22,45.37644124634947
3,23,9.210778143023123
3,24,28.46338392954271
3,32,40.13329671096081
3,40,1.8630080191706755
3,44,47.28624149468685
3,45,22.052065310169837
3,52,48.67761885521183
3,53,36.85709383744732
3,55,45.13985649980676
3,64,36.907937426012644
3,69,4.292672806846132
3,70,11.2602116625721
3,71,36.59378580136528
3,72,23.9481684889831
3,73,9.707629718067901
4,7,36.30724041225553
4,13,11.721227004689172
4,15,1.8512367330163704
4,19,37.72877046449254
4,20,5.974413041735904
4,22,4.918984695905787
4,25,38.98743716964583
4,28,25.15850998519892
4,31,40.69717771549995
4,32,39.39141042754707
4,33,17.66705649365859
4,43,16.573382185361012
4,47,5.524242541917612
4,54,0.19429029476460968
4,56,23.36960527240398
4,59,1.8800201307154485
4,62,28.7082721211344
4,63,10.300224624923054
4,64,33.09326653015531
4,66,16.20664742805951
4,69,48.17104806932216
4,71,5.558666380371796
5,8,19.482437431851814
5,10,40.59675949373094
5,14,18.14151049697393
5,22,39.70041566023122
5,24,27.830385059041006
5,25,24.520591979520134
5,26,15.609891580110785
5,27,47.80257371990883
5,30,10.138293196858578
5,34,43.12427471958787
5,35,22.828638358010732
5,41,45.767591515067835
5,43,33.69299763501387
5,44,49.58856504961019
5,46,12.253611259999953
5,47,26.23161830661711
5,51,12.525618838023389
5,68,32.5842439585324
5,70,16.477638957987722
5,74,15.695915204715167
6,13,4.66178568925531
6,18,38.05718954262164
6,19,13.057447218362428
6,23,45.64195124582943
6,24,10.074464800911464
6,27,48.05531942784611
6,28,33.527941700898644
6,29,40.09249473144374
6,30,17.27715368703384
6,32,28.55679863881714
6,35,11.103764790741067
6,37,5.59360621099787
6,47,1.1316817077313024
6,48,34.80604228533663
6,49,32.57467242433476
6,51,46.65358724858046
6,54,31.04441446056502
6,55,39.69746373633095
6,62,13.744996317323766
6,63,42.86680199524698
6,66,45.20904312052118
6,68,32.920483030265984
6,72,38.80160028845383
7,10,20.21834922923327
7,11,18.433356325598773
7,13,32.47225359484307
7,15,9.844335280513633
7,16,31.24621347765163
7,17,8.23960885039346
7,22,26.394215377296916
7,23,19.488979882974615
7,24,17.83129523685795
7,31,33.69105506171303
7,32,48.38079394295211
7,43,49.05498092390446
7,47,5.971029126745458
7,54,5.1531488417364155
7,57,48.918387669469624
7,62,31.429868488245777
7,65,20.832323264032794
7,66,11.868392730791676
7,67,13.688576508477823
7,69,49.6315408602604
7,72,35.076392598088724
7,74,8.68631246440858
8,9,21.829465719812042
8,10,25.02604823761419
8,11,32.5571188517447
8,18,6.474871447639973
8,19,31.98297505621362
8,21,44.08290277179581
8,24,45.25451918315168
8,32,48.13997407820159
8,39,45.49766658213301
8,47,15.726636294328328
8,49,16.288114872906768
8,54,27.519537252551658
8,55,39.79742561531746
8,59,34.77626098439184
8,64,7.033101226853223
8,66,31.220485127001325
8,68,19.508978910551996
8,70,0.15901144321754934
