Edge1,Edge2,Weight
0,3,11.581460147096001
0,4,22.012921653476063
0,8,9.70111180406813
0,9,37.88862223856093
0,21,40.12343385202313
0,25,40.50333634728063
0,27,4.547210003280777
0,29,6.544407640292832
0,34,16.064264322199666
0,42,17.228693896816367
0,45,3.307118680407406
0,47,11.320433914168449
0,53,10.456730345336007
0,55,13.154961009510652
0,56,2.6522218785428597
0,61,48.90576192142806
0,68,23.874737354626163
0,69,29.460886814668847
0,77,7.39236341284199
0,82,38.056213504181
0,85,8.68564339160358
0,86,20.562338862347218
0,87,44.27113622726773
0,89,2.083559373996524
0,90,31.091786842266256
0,94,27.051730625729732
1,2,49.520578891384694
1,3,19.81676985096129
1,7,43.06441795366098
1,12,11.69321089969808
1,14,42.916042542074976
1,17,9.677793574721877
1,20,3.7514778842625773
1,25,4.275778535109248
1,39,6.186155680473693
1,43,6.299529651922087
1,52,26.837040536804075
1,56,28.90396210355608
1,57,18.60758795742892
1,58,13.054630060147387
1,64,35.76329222860372
1,65,7.465781588113829
1,66,6.162095620859298
1,68,3.8120298495708416
1,69,43.203308699418656
1,70,19.50112357765164
1,71,48.57462443208994
1,72,15.108736765440678
1,73,18.34421544037022
1,76,33.10995160871648
1,78,22.47445096451242
1,84,48.88341845818993
1,88,32.827830446501146
1,91,11.615376695703777
1,94,3.32635275963396
1,95,20.511881011620382
1,96,20.409151583271495
2,4,26.19057400789837
2,7,28.414383905642797
2,8,6.788983785600694
2,11,15.35322894600345
2,21,38.45029955928938
2,25,40.73092374923526
2,37,43.97881663288325
2,43,45.225496505202074
2,47,31.00088054245879
2,49,21.63790874595971
2,53,2.661147424031479
2,57,34.812134788294735
2,59,41.51703284057604
2,77,5.083577098548952
2,78,46.346350645718864
2,84,16.51984122489215
2,85,42.102013725469995
2,87,20.048669904375966
2,89,40.88003527474976
2,91,27.325297902836294
2,93,43.62542621484022
2,98,15.411432371522283
3,16,2.631189459892569
3,17,3.472728532652397
3,22,21.002357181609327
3,26,46.184569741700685
3,27,6.333862632302295
3,33,29.84875988681876
3,35,32.036664305265425
3,40,32.58487831832679
3,42,2.707118471022074
3,47,26.31009862264864
3,48,31.758012137629787
3,50,16.939065823992514
3,51,17.97255793165009
3,60,38.5924966347002
3,65,13.108077211213864
3,69,12.8105030253315
3,72,25.573681255426088
3,73,38.940393198287424
3,75,42.00921717317153
3,80,21.600003332471406
3,82,6.41135165265726
3,83,19.38990509415764
3,89,35.93811746740684
3,91,32.3299191834694
3,92,41.12734456348848
3,94,15.003762002621245
3,95,2.454834445873627
3,99,8.113609728738973
4,6,36.23928725366966
4,13,1.7369859619965788
4,14,2.8633959148423815
4,18,48.25456496463348
4,20,4.866615808477237
4,24,13.72768978327515
4,30,12.688535332495466
4,35,12.655795802226077
4,37,5.24154580971587
4,41,36.171910589891056
4,45,16.00618733623601
4,46,48.38078629859339
4,50,10.544926465898518
4,57,26.522386455212494
4,58,25.44630184525676
4,63,37.975152916615066
4,66,35.281800844798575
4,69,2.380012033649581
4,71,7.6324866969260885
4,74,25.28206246632084
4,75,40.64581336258043
