Edge1,Edge2,Weight
0,4,24.992541788028337
0,5,4.949875697572548
0,7,23.24119716310879
0,8,6.8793173558292615
0,10,26.209508112034413
0,17,27.72298166841623
1,3,30.207386368307827
1,4,13.738563753937338
1,5,41.20896008822743
1,6,26.476271723687532
1,8,30.23613786925969
1,12,22.33857820537559
2,8,19.14749331352072
2,9,21.674051991424747
2,12,30.070082888075085
2,16,10.92943765140635
2,19,13.012721392394406
3,6,29.078002676335895
3,10,12.766689195210507
3,12,26.67215323787951
3,13,3.112790398249221
3,16,7.167593512956694
3,18,15.038929606274099
4,10,19.846505760288068
4,16,9.227546251963759
4,17,8.56242077505796
5,7,20.08975619264246
5,16,21.428736017860327
5,17,32.042828121739944
6,12,10.812376398827656
6,13,40.57710003413331
6,15,44.384980764731885
6,16,42.34385112897348
6,17,41.524077536726914
6,18,7.187728776176422
7,12,40.999475142442144
7,16,30.643915437486353
8,9,3.460255132844492
8,13,4.368391471840349
8,19,4.506058933472551
9,11,13.18768245010391
9,12,22.536196683154692
9,13,27.13770645103341
9,15,11.913550268018264
9,17,34.17640157923319
9,19,45.08375322315052
10,11,45.65039638646978
10,16,35.08011274903387
11,13,8.582306588390637
11,14,17.848403418245645
11,15,32.13532135205702
11,16,32.37574136908678
12,18,47.396828239454614
13,16,13.323944048766705
14,16,28.063015600955687
14,19,24.436571005687835
15,16,21.195990051256796
16,19,19.309472619988444
17,19,48.35933933741102
