Edge1,Edge2,Weight
0,6,19.725192226025577
0,11,32.11325703703963
0,12,6.236307639328404
0,15,48.65688195664794
0,18,21.290985159229315
0,22,46.57392234068755
0,24,45.62470954647696
0,25,17.440119807082375
0,26,42.38022448812142
0,27,23.35649156355307
0,30,38.545024908407726
0,32,8.188639322921382
0,34,47.98340508934847
0,37,24.48864643501107
0,39,9.888944438325591
0,40,30.551604956562556
0,42,45.39082435443812
0,43,43.51945895704542
0,55,18.92702796384431
0,63,6.1987563772084915
0,64,23.33951409453055
0,65,19.684497106673593
0,68,46.397760364393626
0,69,35.22103678668717
0,70,2.4443204504205065
0,73,48.69828053737456
0,75,1.654772287299
0,78,41.55051092950535
0,79,17.89902639934643
0,82,48.317710610180654
0,87,14.249059685406563
0,88,41.8153821414263
0,89,39.5295393502946
0,90,40.85880823952116
0,95,9.96421857591896
0,96,49.87178598866078
0,97,27.464954281878768
0,98,35.28434143695684
1,4,27.038784183689113
1,12,20.851062375035223
1,14,29.54313891103543
1,15,10.61467559907871
1,16,10.585822951539498
1,20,27.20948252394691
1,26,37.111293310860304
1,28,23.185642355022964
1,30,35.3390151041302
1,34,25.008702588968102
1,38,42.87803478839833
1,39,8.663917350308237
1,45,43.71395884189086
1,46,37.988366659208964
1,54,26.716698571884727
1,55,35.31928425539721
1,58,2.285694021656121
1,59,47.36375515094245
1,62,38.42917063180422
1,63,37.03027235002936
1,64,33.75769744626701
1,67,40.894665781503136
1,68,25.8717017891938
1,69,35.94332401880454
1,72,8.322702768453388
1,73,44.20302577438557
1,74,25.851732480806433
1,77,10.454026037180425
1,79,44.873698909665535
1,81,33.088111901467194
1,85,48.148485129127
1,88,7.901463651448138
1,89,21.690355451606376
1,93,38.221980687702384
2,3,30.325852809665143
2,4,5.620045729294315
2,11,43.01334721448335
2,14,38.12796380546921
2,16,1.565473273543383
2,20,21.196671621364853
2,23,5.8694961261128995
2,24,10.25289120483609
2,26,3.4048767590433626
2,27,15.966999990662655
2,28,8.32595287703608
2,35,0.55535405850759
2,37,17.681436902264956
2,38,24.48205794491671
2,42,12.491376191297975
2,43,48.83241770950366
2,45,16.698760044885734
2,48,38.7168663866026
2,50,14.242314483903423
2,51,40.07294136871089
2,53,45.92115831612589
2,64,12.198220133282579
2,66,3.2210194550197633
2,67,18.43517688613962
2,68,44.150541143772344
2,71,2.8867143063542153
2,73,48.26387966374295
2,76,34.41099743667365
2,79,12.582049218083952
2,84,31.12186979730871
2,87,27.3119090141789
2,93,1.6255960424198856
2,97,42.6168652579573
3,4,38.39324736971055
3,6,42.39665089378517
3,11,13.195438540011533
3,12,26.077790376026606
3,15,36.67443588295313
3,21,39.980071348886014
3,22,17.958172425030465
3,24,18.61967451688243
3,28,44.162830281583524
3,30,21.914534252610363
3,32,0.4059663617642817
3,33,48.84406771027004
3,39,10.907303328101658
3,42,29.274565258441488
3,50,37.64634223224844
3,55,32.63379725161635
3,57,14.698216713819324
3,61,43.67403420857981
3,62,17.156567731804746
3,63,47.39280856087995
3,69,1.8458026215897427
3,70,10.555016747914697
3,73,49.383637433946035
3,74,10.398155099827083
3,75,28.761537991027602
3,78,29.756127816490373
3,81,42.10715362101807
3,83,26.376866356585708
3,93,31.52019890885931
3,94,8.566294705826461
3,95,25.41346775890708
4,7,11.228316380595293
4,10,42.67503807543556
4,12,1.7402644540379097
4,18,13.373082399611702
4,24,46.39436587647047
4,27,35.03019577588601
4,29,46.7712497493472
4,33,18.81948695389951
4,38,26.65843912199802
4,39,6.959980497584523
4,40,2.6297427601116032
4,43,14.848216390635127
4,44,26.34928124060883
4,48,0.39820133730084084
4,58,33.418217634593546
4,59,23.31689650851083
4,60,29.639397297797824
4,63,35.28109799121692
4,66,14.309646680909621
4,69,42.00361292098095
4,72,34.82507042262258
4,73,39.66024175965083
4,75,38.97899678616191
4,77,29.73547919027136
4,82,15.962525944587574
4,84,45.40199381354511
4,92,5.435692739260112
4,95,28.577940806923745
4,96,46.390432010293004
5,7,38.85060652489696
5,10,14.986556370449316
5,11,44.25440066436778
5,15,26.394211388397427
5,21,1.2301257353331263
5,22,24.602920861896667
5,25,2.9337041349126904
5,26,32.152460827962074
5,29,30.79673481637143
5,30,42.54747318588597
5,32,21.567162496744423
5,33,32.213489058242786
5,34,1.5275062075632617
5,35,31.648801252204215
5,38,2.7554864822275538
5,41,6.470496068281628
5,54,26.48903863472512
5,58,27.78494619429538
5,62,45.962931594599695
5,70,2.4299490916179445
5,72,25.969292302117207
5,78,44.513374577782855
5,79,27.698601806119445
5,82,23.884443284338097
5,83,27.061308248437648
5,86,26.399658779043705
5,87,27.30234959432025
5,88,17.269602939232996
5,90,12.902316230726225
5,93,19.022820248739286
5,94,18.35781748673671
5,97,43.60867988827691
6,17,16.07018566742329
6,18,0.9284081523266319
6,23,36.7276636809507
6,28,19.064382662822815
6,29,15.795615587583233
6,31,26.898199366134822
6,36,47.634366301006324
6,38,32.448055020791365
6,39,0.5456189365765918
6,40,16.902530057268812
6,47,3.415883205474668
6,49,26.81928254977237
6,51,49.25163857406549
6,53,0.9787496976842225
6,56,34.73731152806196
6,57,20.34497736192804
6,63,5.034692536419056
6,66,29.441916508323914
6,69,0.8070473386897814
6,73,26.258311191449955
6,75,6.905438839136247
6,78,15.503879953799293
6,87,4.151740493120193
6,91,10.622149336926956
6,93,25.330849496497265
6,94,24.75081625110086
6,97,22.353566048657836
7,8,35.97245635316365
7,15,38.724387495006454
7,18,25.94276586160645
7,19,37.95196270298736
7,26,5.613220857574936
7,32,3.6962211774897833
7,35,34.274988612370606
7,36,48.44952463439376
7,38,34.3643857566404
7,49,42.550100085984404
7,50,7.609646525350056
7,51,29.056933642368666
7,57,31.5515149046781
7,61,16.752309549209382
7,69,26.07805134741949
7,77,28.541373096015736
7,81,14.26503290663494
7,84,21.782653531493494
7,85,7.900917413461622
7,87,21.870473591386837
7,89,16.46754009450582
7,90,15.91275209813504
7,91,5.115197463319953
7,95,37.55609568330179
7,98,46.111128208273925
8,11,17.348639643299553
8,12,38.55064721512989
8,16,2.670346797816064
8,18,41.6991389839807
8,22,14.724714012836177
8,24,23.939120219273573
8,26,18.60901267474849
8,27,0.42669577181963514
8,29,7.337172192015795
8,32,27.867619397581368
8,38,12.002748354036829
8,40,15.19242671409478
8,46,38.228091127671874
8,48,47.655328232780704
8,58,9.640826431678374
8,59,5.367896368929525
8,60,49.414165289301756
8,64,9.18841924835262
8,69,3.9946336542763525
8,71,48.84877412947969
8,72,35.88770664925095
8,73,17.585828181843887
8,81,45.644398654525645
8,98,35.24095426004145
8,99,36.90951320429735
9,25,39.23729363645545
9,29,26.17398769460762
9,31,26.10373450167323
9,33,24.463108099490942
9,38,42.5792042238244
9,39,22.649902514833585
9,42,22.549142111354154
9,55,46.32271366270642
9,56,23.734079299142813
9,62,22.29762338205926
9,65,16.305917493373283
9,72,32.710775100970615
9,79,9.075938655502569
9,88,22.616834205559872
9,95,19.187094385622483
9,99,14.723712215345092
10,17,6.657128389273814
10,18,12.240841014173204
10,22,25.467637337442522
10,25,21.38214411563226
10,26,29.5783466625138
10,27,20.985984915948592
10,31,6.411877730753885
10,34,34.854964925450254
10,40,1.1438204974723476
10,43,48.42613298317524
10,46,19.558319538063923
10,54,24.059637574051795
10,58,45.691845537919896
10,59,5.032659053128069
10,62,31.954589523378168
10,63,34.654751867480044
10,64,47.47580460171926
10,66,43.836618875238095
10,73,44.27259038471126
10,74,6.536900643726723
10,79,19.714678286030647
10,80,35.40979240052834
